train_no,departure,arrival,travel_minutes
4138,05:28:00,06:08:00,40.0
1112,05:57:00,06:37:00,40.0
1122,06:28:00,07:09:00,41.0
1124,06:36:00,07:25:00,49.0
272,06:43:00,07:20:00,37.0
4148,06:50:00,07:32:00,42.0
1128,06:57:00,07:39:00,42.0
4152,07:06:00,07:48:00,42.0
1132,07:16:00,07:58:00,42.0
4154,07:30:00,08:12:00,42.0
102,07:44:30,08:16:00,31.5
1134,07:52:00,08:34:00,42.0
2114,07:59:00,08:46:00,47.0
472,08:08:00,08:39:00,31.0
1136,08:16:00,08:57:00,41.0
2008,08:26:00,09:02:00,36.0
1138,08:34:00,09:14:00,40.0
1142,08:46:00,09:34:00,48.0
278,08:55:00,09:27:00,32.0
1148,09:05:00,09:52:00,47.0
270,09:21:00,09:56:00,35.0
1154,09:28:00,10:08:00,40.0
1152,09:39:00,10:20:00,41.0
1158,09:52:00,10:32:00,40.0
108,10:07:00,10:36:00,29.0
2134,10:14:00,10:54:00,40.0
110,10:28:00,10:58:00,30.0
1162,10:33:00,11:13:00,40.0
1004,10:48:00,11:25:00,37.0
1168,10:56:00,11:38:00,42.0
1160,11:06:00,11:47:00,41.0
1174,11:22:00,12:14:00,52.0
112,11:38:00,12:09:00,31.0
1172,11:45:00,12:25:00,40.0
1178,12:03:00,12:44:00,41.0
2154,12:18:00,12:57:00,39.0
114,12:30:00,13:01:00,31.0
1180,12:38:00,13:25:00,47.0
1006,12:45:00,13:16:00,31.0
1188,12:59:00,13:39:00,40.0
1194,13:07:00,14:00:00,53.0
178,13:14:00,13:45:00,31.0
116,13:25:30,13:54:00,28.5
1192,13:42:00,14:22:00,40.0
1198,13:58:30,14:39:30,41.0
2174,14:22:00,15:08:00,46.0
118,14:30:00,15:01:00,31.0
1202,14:35:00,15:15:00,40.0
120,14:50:00,15:19:00,29.0
1208,14:57:00,15:36:00,39.0
172,15:17:00,15:46:00,29.0
1214,15:25:00,16:05:00,40.0
1212,15:33:00,16:24:00,51.0
1218,16:02:00,16:42:00,40.0
2194,16:13:00,16:59:00,46.0
180,16:21:00,16:52:00,31.0
122,16:33:30,17:07:00,33.5
1222,16:38:00,17:18:00,40.0
1228,16:52:00,17:33:00,41.0
4232,17:00:30,17:47:00,46.5
176,17:19:00,17:51:00,32.0
1234,17:24:00,18:04:00,40.0
1232,17:35:00,18:21:00,46.0
128,17:54:00,18:25:00,31.0
1238,18:03:00,18:43:00,40.0
4046,18:13:00,18:55:00,42.0
130,18:19:00,18:51:00,32.0
2214,18:28:00,19:08:00,40.0
194,18:42:00,19:12:00,30.0
1242,18:53:00,19:33:00,40.0
4240,18:59:00,19:47:00,48.0
1248,19:04:00,19:52:00,48.0
134,19:11:00,19:42:00,31.0
1254,19:21:00,20:08:00,47.0
136,19:28:00,19:57:00,29.0
1252,19:36:00,20:17:00,41.0
1258,19:47:00,20:27:00,40.0
138,19:57:00,20:31:00,34.0
2042,20:05:00,20:39:00,34.0
1262,20:10:00,20:51:00,41.0
554,20:18:00,21:02:00,44.0
158,20:27:00,20:59:00,32.0
2234,20:32:00,21:23:00,51.0
142,20:38:00,21:10:00,32.0
1268,20:43:00,21:37:00,54.0
288,20:50:00,21:17:00,27.0
1038,20:57:00,21:32:00,35.0
1274,21:03:00,21:55:00,52.0
144,21:16:00,21:47:00,31.0
4252,21:24:00,22:04:00,40.0
1272,21:41:00,22:34:00,53.0
146,21:49:00,22:18:00,29.0
168,21:54:00,22:23:00,29.0
1278,22:03:00,22:43:00,40.0
154,22:18:00,22:47:00,29.0
1280,22:23:00,23:03:00,40.0
2254,22:30:00,23:10:00,40.0
2046,22:42:00,23:14:00,32.0
150,22:48:00,23:19:00,31.0
1282,22:54:00,23:34:00,40.0
1288,23:06:00,23:46:00,40.0
1048,23:19:00,23:50:00,31.0
152,23:28:00,00:02:00,34.0
